Breeder,BuyItNow,DateAdded,FinalBid,ID,Photo,Sex,Size,Type,Unnamed: 0,Website
Ogawa (Niigata),[],2017_10_24,300.0,17-H-860,ChampPics\Champ[17-H-860].jpg,[],27.94,Shiro Utsuri,0.0,Champ
Ogawa (Niigata),[],2017_10_24,300.0,17-H-862,ChampPics\Champ[17-H-862].jpg,[],30.48,Shiro Utsuri,1.0,Champ
Ogawa (Niigata),[],2017_10_24,300.0,17-H-864,ChampPics\Champ[17-H-864].jpg,[],30.48,Shiro Utsuri,2.0,Champ
Ogawa (Niigata),[],2017_10_24,300.0,17-H-866,ChampPics\Champ[17-H-866].jpg,[],30.48,Shiro Utsuri,3.0,Champ
Ogawa (Niigata),[],2017_10_24,300.0,17-H-872,ChampPics\Champ[17-H-872].jpg,[],33.02,Shiro Utsuri,4.0,Champ
Ogawa (Niigata),[],2017_10_24,300.0,17-H-875,ChampPics\Champ[17-H-875].jpg,[],30.48,Shiro Utsuri,5.0,Champ
Ogawa (Niigata),[],2017_10_24,300.0,17-H-880,ChampPics\Champ[17-H-880].jpg,[],27.94,Ginrin Shiro Utsuri,6.0,Champ
Hoshikin,[],2017_10_24,450.0,17-H-881,ChampPics\Champ[17-H-881].jpg,[],33.02,Kohaku,7.0,Champ
Hoshikin,[],2017_10_24,450.0,17-H-885,ChampPics\Champ[17-H-885].jpg,[],35.56,Kohaku,8.0,Champ
Hoshikin,[],2017_10_24,450.0,17-H-890,ChampPics\Champ[17-H-890].jpg,[],35.56,Kohaku,9.0,Champ
Hoshikin,[],2017_10_24,450.0,17-H-892,ChampPics\Champ[17-H-892].jpg,[],38.1,Kohaku,10.0,Champ
Hoshikin,[],2017_10_24,450.0,17-H-894,ChampPics\Champ[17-H-894].jpg,[],38.1,Kohaku,11.0,Champ
Hoshikin,[],2017_10_24,450.0,17-H-900,ChampPics\Champ[17-H-900].jpg,[],38.1,Kohaku,12.0,Champ
Taniguchi,[],2017_10_24,500.0,16-G-472,ChampPics\Champ[16-G-472].jpg,[],38.1,Kohaku,13.0,Champ
Taniguchi,[],2017_10_24,500.0,16-G-476,ChampPics\Champ[16-G-476].jpg,[],38.1,Kohaku,14.0,Champ
Momotaro,[],2017_10_24,500.0,16-H-588,ChampPics\Champ[16-H-588].jpg,[],38.1,Showa,15.0,Champ
Momotaro,[],2017_10_24,600.0,16-H-640,ChampPics\Champ[16-H-640].jpg,[],38.1,Sanke,16.0,Champ
Momotaro,[],2017_10_24,600.0,16-H-632,ChampPics\Champ[16-H-632].jpg,[],45.72,Sanke,17.0,Champ
Sakai Hiroshima,[],2017_10_24,600.0,16-G-496,ChampPics\Champ[16-G-496].jpg,[],38.1,Kohaku,18.0,Champ
Momotaro,[],2017_10_24,600.0,16-H-539,ChampPics\Champ[16-H-539].jpg,[],27.94,Showa,19.0,Champ
Momotaro,[],2017_10_24,600.0,16-H-573,ChampPics\Champ[16-H-573].jpg,[],38.1,Showa,20.0,Champ
Sakai Hiroshima,[],2017_10_24,600.0,16-G-504,ChampPics\Champ[16-G-504].jpg,[],40.64,Kohaku,21.0,Champ
Sakai Hiroshima,[],2017_10_24,600.0,16-G-487,ChampPics\Champ[16-G-487].jpg,[],38.1,Kohaku,22.0,Champ
Taniguchi,[],2017_10_24,600.0,16-G-471,ChampPics\Champ[16-G-471].jpg,[],40.64,Kohaku,23.0,Champ
Momotaro,[],2017_10_24,700.0,16-H-616,ChampPics\Champ[16-H-616].jpg,[],43.18,Showa,24.0,Champ
Kawakami,[],2017_10_24,800.0,16-O-089,ChampPics\Champ[16-O-089].jpg,[],45.72,Kohaku,25.0,Champ
Sakai Hiroshima,[],2017_10_24,600.0,16-G-530,ChampPics\Champ[16-G-530].jpg,[],38.1,Sanke,26.0,Champ
Ogata,[],2017_10_24,900.0,14-R-449,ChampPics\Champ[14-R-449].jpg,[],50.8,Showa,27.0,Champ
Ogata,[],2017_10_24,900.0,15-O-279,ChampPics\Champ[15-O-279].jpg,[],50.8,Kohaku,28.0,Champ
Sakai Hiroshima,[],2017_10_24,700.0,16-G-512,ChampPics\Champ[16-G-512].jpg,[],35.56,Kohaku,29.0,Champ
Sakai Hiroshima,[],2017_10_24,700.0,16-G-507,ChampPics\Champ[16-G-507].jpg,[],35.56,Kohaku,30.0,Champ
Momotaro,[],2017_10_24,700.0,16-H-540,ChampPics\Champ[16-H-540].jpg,[],30.48,Showa,31.0,Champ
Shinoda,[],2017_10_24,900.0,17-C-797,ChampPics\Champ[17-C-797].jpg,[],43.18,Doitsu Sanke,32.0,Champ
Ogata,[],2017_10_24,950.0,17-I-909,ChampPics\Champ[17-I-909].jpg,[],53.34,Ginrin Showa,33.0,Champ
Ogata,[],2017_10_24,950.0,17-I-915,ChampPics\Champ[17-I-915].jpg,[],50.8,Ginrin Showa,34.0,Champ
Ogata,[],2017_10_24,950.0,17-I-919,ChampPics\Champ[17-I-919].jpg,[],53.34,Ginrin Showa,35.0,Champ
Ogata,[],2017_10_24,950.0,17-I-926,ChampPics\Champ[17-I-926].jpg,[],50.8,Ginrin Showa,36.0,Champ
Ogata,[],2017_10_24,950.0,17-I-952,ChampPics\Champ[17-I-952].jpg,[],53.34,Showa,37.0,Champ
Ogata,[],2017_10_24,950.0,17-I-959,ChampPics\Champ[17-I-959].jpg,[],45.72,Kohaku,38.0,Champ
Ogata,[],2017_10_24,950.0,17-I-960,ChampPics\Champ[17-I-960].jpg,[],55.88,Ginrin Showa,39.0,Champ
Momotaro,[],2017_10_24,800.0,16-H-582,ChampPics\Champ[16-H-582].jpg,[],40.64,Showa,40.0,Champ
Ogata,[],2017_10_24,800.0,17-D-834,ChampPics\Champ[17-D-834].jpg,[],53.34,Kohaku,41.0,Champ
Ogata,[],2017_10_24,800.0,17-D-857,ChampPics\Champ[17-D-857].jpg,[],50.8,Ochiba,42.0,Champ
Ogata,[],2017_10_24,800.0,17-I-928,ChampPics\Champ[17-I-928].jpg,[],58.42,Aka Matsuba,43.0,Champ
Ogata,[],2017_10_24,800.0,17-D-854,ChampPics\Champ[17-D-854].jpg,[],53.34,Goshiki,44.0,Champ
Ogata,[],2017_10_24,[],17-D-861,ChampPics\Champ[17-D-861].jpg,[],50.8,Ginrin Shiro Utsuri,45.0,Champ
Ogata,[],2017_10_24,800.0,14-S-613,ChampPics\Champ[14-S-613].jpg,[],45.72,Showa,46.0,Champ
Ogata,[],2017_10_24,1100.0,17-D-846,ChampPics\Champ[17-D-846].jpg,[],55.88,Kujaku,47.0,Champ
Ogata,[],2017_10_24,1100.0,17-D-847,ChampPics\Champ[17-D-847].jpg,[],55.88,Kujaku,48.0,Champ
Marusaka,[],2017_10_24,800.0,17-I-973,ChampPics\Champ[17-I-973].jpg,[],50.8,Kikokuryu,49.0,Champ
Marusaka,[],2017_10_24,800.0,17-I-983,ChampPics\Champ[17-I-983].jpg,[],50.8,Kikusui,50.0,Champ
Yamazaki,[],2017_10_24,1200.0,15-B-703,ChampPics\Champ[15-B-703].jpg,[],55.88,Ochiba,51.0,Champ
Taniguchi,[],2017_10_24,800.0,16-G-482,ChampPics\Champ[16-G-482].jpg,[],30.48,Kohaku,52.0,Champ
Taniguchi,[],2017_10_24,750.0,16-G-488,ChampPics\Champ[16-G-488].jpg,[],43.18,Kohaku,53.0,Champ
Momotaro,[],2017_10_24,900.0,16-H-570,ChampPics\Champ[16-H-570].jpg,[],43.18,Showa,54.0,Champ
Momotaro,[],2017_10_24,900.0,16-H-591,ChampPics\Champ[16-H-591].jpg,[],45.72,Showa,55.0,Champ
Momotaro,[],2017_10_24,900.0,16-H-598,ChampPics\Champ[16-H-598].jpg,[],43.18,Showa,56.0,Champ
Niigata,[],2017_10_24,900.0,17-E-951,ChampPics\Champ[17-E-951].jpg,[],50.8,Kikokuryu,57.0,Champ
Sakazume,[],2017_10_24,900.0,17-C-754,ChampPics\Champ[17-C-754].jpg,[],43.18,Budo Goromo,58.0,Champ
Sakazume,[],2017_10_24,1100.0,17-C-783,ChampPics\Champ[17-C-783].jpg,[],53.34,Budo Goromo,59.0,Champ
Sakazume,[],2017_10_24,900.0,17-E-973,ChampPics\Champ[17-E-973].jpg,[],48.26,Budo Goromo,60.0,Champ
Hoshikin,[],2017_10_24,1200.0,17-H-883,ChampPics\Champ[17-H-883].jpg,[],40.64,Kohaku,61.0,Champ
Hoshikin,[],2017_10_24,1200.0,17-H-886,ChampPics\Champ[17-H-886].jpg,[],35.56,Kohaku,62.0,Champ
Hoshikin,[],2017_10_24,1200.0,17-H-903,ChampPics\Champ[17-H-903].jpg,[],43.18,Kohaku,63.0,Champ
Hoshikin,[],2017_10_24,1200.0,17-H-904,ChampPics\Champ[17-H-904].jpg,[],43.18,Kohaku,64.0,Champ
Hoshikin,[],2017_10_24,1200.0,17-H-906,ChampPics\Champ[17-H-906].jpg,[],43.18,Kohaku,65.0,Champ
Ogata,[],2017_10_24,1200.0,16-C-121,ChampPics\Champ[16-C-121].jpg,[],48.26,Ginrin Showa,66.0,Champ
Ogata (Sakai),[],2017_10_24,1400.0,16-C-161,ChampPics\Champ[16-C-161].jpg,[],53.34,Sanke,67.0,Champ
Sakazume,[],2017_10_24,1100.0,17-D-901,ChampPics\Champ[17-D-901].jpg,[],55.88,Asagi,68.0,Champ
Hiroi,[],2017_10_24,[],17-F-023,ChampPics\Champ[17-F-023].jpg,[],43.18,Goshiki,69.0,Champ
Ogata,[],2017_10_24,800.0,17-I-934,ChampPics\Champ[17-I-934].jpg,[],48.26,Doitsu Showa,70.0,Champ
Ogata,[],2017_10_24,1200.0,17-I-938,ChampPics\Champ[17-I-938].jpg,[],53.34,Doitsu Showa,71.0,Champ
Ogata,[],2017_10_24,[],17-I-944,ChampPics\Champ[17-I-944].jpg,[],48.26,Doitsu Showa,72.0,Champ
Ogata,[],2017_10_24,1200.0,17-A-026,ChampPics\Champ[17-A-026].jpg,[],[],Shiro Utsuri,73.0,Champ
Ogata,[],2017_10_24,1200.0,16-C-163,ChampPics\Champ[16-C-163].jpg,[],53.34,Kohaku,74.0,Champ
Hiroi,[],2017_10_24,1100.0,17-F-027,ChampPics\Champ[17-F-027].jpg,[],43.18,Ginrin Goshiki,75.0,Champ
Hiroi,[],2017_10_24,[],17-F-024,ChampPics\Champ[17-F-024].jpg,[],45.72,Goshiki,76.0,Champ
Hiroi,[],2017_10_24,1200.0,17-F-025,ChampPics\Champ[17-F-025].jpg,[],43.18,Ginrin Goshiki,77.0,Champ
Niigata,[],2017_10_24,1300.0,17-E-952,ChampPics\Champ[17-E-952].jpg,[],55.88,Ki Kikokuryu,78.0,Champ
Marudo,[],2017_10_24,1100.0,17-E-931,ChampPics\Champ[17-E-931].jpg,[],58.42,Ginrin Kigoi,79.0,Champ
Koda,[],2017_10_24,1200.0,17-D-890,ChampPics\Champ[17-D-890].jpg,[],50.8,Ginrin Goshiki,80.0,Champ
Marudo,[],2017_10_24,1300.0,17-I-966,ChampPics\Champ[17-I-966].jpg,[],58.42,Ginrin Chagoi,81.0,Champ
Marudo,[],2017_10_24,1300.0,17-I-970,ChampPics\Champ[17-I-970].jpg,[],58.42,Ginrin Chagoi,82.0,Champ
Ogata,[],2017_10_24,1300.0,16-C-164,ChampPics\Champ[16-C-164].jpg,[],55.88,Kohaku,83.0,Champ
Hiroi,[],2017_10_24,1200.0,16-O-136,ChampPics\Champ[16-O-136].jpg,[],50.8,Ginrin Sanke,84.0,Champ
Kawakami,[],2017_10_24,1200.0,17-C-798,ChampPics\Champ[17-C-798].jpg,[],45.72,Goshiki,85.0,Champ
Kawakami,[],2017_10_24,1200.0,17-D-876,ChampPics\Champ[17-D-876].jpg,[],4572.0,Goshiki,86.0,Champ
Niigata,[],2017_10_24,1200.0,17-C-782,ChampPics\Champ[17-C-782].jpg,[],45.72,Budo Goromo,87.0,Champ
Hiroi,[],2017_10_24,1800.0,17-F-041,ChampPics\Champ[17-F-041].jpg,[],48.26,Tancho Goshiki,88.0,Champ
Ogata,[],2017_10_24,[],15-O-192,ChampPics\Champ[15-O-192].jpg,[],50.8,Showa,89.0,Champ
Ogata,[],2017_10_24,1200.0,16-C-245,ChampPics\Champ[16-C-245].jpg,[],50.8,Ginrin Showa,90.0,Champ
Sekiguchi,[],2017_10_24,2000.0,16-O-173,ChampPics\Champ[16-O-173].jpg,[],48.26,Showa,91.0,Champ
Ogata,[],2017_10_24,2000.0,17-A-049,ChampPics\Champ[17-A-049].jpg,[],[],Budo Goromo,92.0,Champ
Niigata,[],2017_10_24,1600.0,17-E-978,ChampPics\Champ[17-E-978].jpg,[],60.96,Ai Goromo,93.0,Champ
Ogata,[],2017_10_24,1200.0,16-C-170,ChampPics\Champ[16-C-170].jpg,[],55.88,Kohaku,94.0,Champ
ogata,[],2017_10_24,2200.0,17-A-039,ChampPics\Champ[17-A-039].jpg,[],[],Kohaku,95.0,Champ
Ogata,[],2017_10_24,2200.0,17-A-048,ChampPics\Champ[17-A-048].jpg,[],[],Kohaku,96.0,Champ
Ogata,[],2017_10_24,1800.0,17-A-050,ChampPics\Champ[17-A-050].jpg,[],[],Showa,97.0,Champ
Kaneko,[],2017_10_24,1200.0,15-A-654,ChampPics\Champ[15-A-654].jpg,[],53.34,Doitsu Ochiba,98.0,Champ
Koda,[],2017_10_24,1800.0,17-D-892,ChampPics\Champ[17-D-892].jpg,[],50.8,Tancho Showa,99.0,Champ
Taniguchi,[],2017_10_24,1800.0,16-O-110,ChampPics\Champ[16-O-110].jpg,[],50.8,Kohaku,100.0,Champ
Hoshikin,[],2017_10_24,2500.0,17-E-948,ChampPics\Champ[17-E-948].jpg,[],55.88,Kohaku,101.0,Champ
Hoshikin,[],2017_10_24,2500.0,17-E-939,ChampPics\Champ[17-E-939].jpg,[],55.88,Kohaku,102.0,Champ
Hoshikin,[],2017_10_24,2500.0,17-E-942,ChampPics\Champ[17-E-942].jpg,[],55.88,Kohaku,103.0,Champ
Hoshikin,[],2017_10_24,2500.0,17-E-945,ChampPics\Champ[17-E-945].jpg,[],55.88,Kohaku,104.0,Champ
Oofuchi,[],2017_10_24,1800.0,17-I-947,ChampPics\Champ[17-I-947].jpg,[],60.96,Doitsu Lemon Hariwake,105.0,Champ
Ogata,[],2017_10_24,2600.0,16-C-173,ChampPics\Champ[16-C-173].jpg,[],55.88,Kohaku,106.0,Champ
Sakai Hiroshima,[],2017_10_24,3600.0,16-I-032,ChampPics\Champ[16-I-032].jpg,[],49.53,Sanke,107.0,Champ
Marusei,[],2017_10_24,3600.0,17-F-052,ChampPics\Champ[17-F-052].jpg,[],63.5,Mizuho Ogon,108.0,Champ
Dainichi,[],2017_10_24,3800.0,16-F-152,ChampPics\Champ[16-F-152].jpg,[],60.96,Tancho Sanke,109.0,Champ
Marusei,[],2017_10_24,3800.0,17-F-039,ChampPics\Champ[17-F-039].jpg,[],73.66,Chagoi,110.0,Champ
[],[],2017_10_24,4200.0,17-F-060,ChampPics\Champ[17-F-060].jpg,[],66.04,Kujaku,111.0,Champ
Marusei,[],2017_10_24,4200.0,17-F-061,ChampPics\Champ[17-F-061].jpg,[],68.58,Asagi,112.0,Champ
